1	Aug 23, 2003	Sat	(7) Kansas State	42		California	28	
1	Aug 23, 2003	Sat	San Jose State	29		Grambling State	0	
2	Aug 28, 2003	Thu	Ball State	31		Indiana State	7	
2	Aug 28, 2003	Thu	Bowling Green	63		Eastern Kentucky	13	
2	Aug 28, 2003	Thu	Brigham Young	24		Georgia Tech	13	
2	Aug 28, 2003	Thu	Eastern Michigan	28		East Tennessee State	21	
2	Aug 28, 2003	Thu	Florida Atlantic	20	@	Middle Tennessee State	19	
2	Aug 28, 2003	Thu	Kent State	41	@	Akron	38	
2	Aug 28, 2003	Thu	(3) Miami (FL)	48	@	Louisiana Tech	9	
2	Aug 28, 2003	Thu	Northern Illinois	20		(15) Maryland	13	
2	Aug 28, 2003	Thu	Ohio	17		Southeast Missouri State	3	
2	Aug 28, 2003	Thu	Oregon State	40		Sacramento State	7	
2	Aug 28, 2003	Thu	Utah	40		Utah State	20	
2	Aug 29, 2003	Fri	Nevada-Las Vegas	28		Toledo	18	
2	Aug 30, 2003	Sat	Air Force	49		Wofford	0	
2	Aug 30, 2003	Sat	Alabama	40		South Florida	17	
2	Aug 30, 2003	Sat	Alabama-Birmingham	24	@	Baylor	19	
2	Aug 30, 2003	Sat	Arizona	42		Texas-El Paso	7	
2	Aug 30, 2003	Sat	California	34		Southern Mississippi	2	
2	Aug 30, 2003	Sat	Colorado	42	N	(23) Colorado State	35	
2	Aug 30, 2003	Sat	Connecticut	34		Indiana	10	
2	Aug 30, 2003	Sat	Florida	65		San Jose State	3	
2	Aug 30, 2003	Sat	(13) Florida State	37	@	North Carolina	0	
2	Aug 30, 2003	Sat	(11) Georgia	30	@	Clemson	0	
2	Aug 30, 2003	Sat	Hawaii	40		Appalachian State	17	
2	Aug 30, 2003	Sat	Houston	48		Rice	14	
2	Aug 30, 2003	Sat	Iowa	21		Miami (OH)	3	
2	Aug 30, 2003	Sat	Iowa State	17		Northern Iowa	10	
2	Aug 30, 2003	Sat	(7) Kansas State	41		Troy	5	
2	Aug 30, 2003	Sat	(14) Louisiana State	49		Louisiana-Monroe	7	
2	Aug 30, 2003	Sat	Marshall	45		Hofstra	21	
2	Aug 30, 2003	Sat	Memphis	40		Tennessee Tech	10	
2	Aug 30, 2003	Sat	(4) Michigan	45		Central Michigan	7	
2	Aug 30, 2003	Sat	Michigan State	26		Western Michigan	21	
2	Aug 30, 2003	Sat	Minnesota	49		Tulsa	10	
2	Aug 30, 2003	Sat	Mississippi	24	@	Vanderbilt	21	
2	Aug 30, 2003	Sat	Missouri	22	N	Illinois	15	
2	Aug 30, 2003	Sat	Navy	37		Virginia Military Institute	10	
2	Aug 30, 2003	Sat	Nebraska	17		(24) Oklahoma State	7	
2	Aug 30, 2003	Sat	Nevada	24		Southern Utah	23	
2	Aug 30, 2003	Sat	New Mexico	72		Texas State	8	
2	Aug 30, 2003	Sat	(16) North Carolina State	59		Western Carolina	20	
2	Aug 30, 2003	Sat	Northwestern	28	@	Kansas	20	
2	Aug 30, 2003	Sat	(2) Ohio State	28		(17) Washington	9	
2	Aug 30, 2003	Sat	(1) Oklahoma	37		North Texas	3	
2	Aug 30, 2003	Sat	Oregon	42	@	Mississippi State	34	
2	Aug 30, 2003	Sat	Penn State	23		Temple	10	
2	Aug 30, 2003	Sat	Rutgers	24		Buffalo	10	
2	Aug 30, 2003	Sat	San Diego State	19		Eastern Washington	9	
2	Aug 30, 2003	Sat	South Carolina	14		Louisiana	7	
2	Aug 30, 2003	Sat	(8) Southern California	23	@	(6) Auburn	0	
2	Aug 30, 2003	Sat	(12) Tennessee	24		Fresno State	6	
2	Aug 30, 2003	Sat	Texas A&M	26		Arkansas State	11	
2	Aug 30, 2003	Sat	Texas Tech	58		Southern Methodist	10	
2	Aug 30, 2003	Sat	(18) Virginia	27		Duke	0	
2	Aug 30, 2003	Sat	Wake Forest	32	@	Boston College	28	
2	Aug 30, 2003	Sat	Washington State	25	N	Idaho	0	
2	Aug 30, 2003	Sat	(21) Wisconsin	24	@	West Virginia	17	
2	Aug 30, 2003	Sat	Wyoming	21		Montana State	10	
2	Aug 31, 2003	Sun	Louisville	40	@	Kentucky	24	
2	Aug 31, 2003	Sun	(5) Texas	66		New Mexico State	7	
2	Aug 31, 2003	Sun	(9) Virginia Tech	49		Central Florida	28	
2	Sep 1, 2003	Mon	Cincinnati	40		East Carolina	3	
2	Sep 1, 2003	Mon	(25) Texas Christian	38	@	Tulane	35	
3	Sep 4, 2003	Thu	Southern Mississippi	17	@	Alabama-Birmingham	12	
3	Sep 4, 2003	Thu	Western Illinois	34	@	Eastern Michigan	12	
3	Sep 5, 2003	Fri	Fresno State	16		Oregon State	14	
3	Sep 6, 2003	Sat	Air Force	22	@	Northwestern	21	
3	Sep 6, 2003	Sat	(20) Arizona State	34		Northern Arizona	14	
3	Sep 6, 2003	Sat	Arkansas	45		Tulsa	13	
3	Sep 6, 2003	Sat	Arkansas State	63		Tennessee-Martin	6	
3	Sep 6, 2003	Sat	Boise State	62		Idaho State	0	
3	Sep 6, 2003	Sat	Boston College	27	@	Penn State	14	
3	Sep 6, 2003	Sat	Bowling Green	27	@	(16) Purdue	26	
